code_name,dpid,sbmxn_pt,ctgry,typ,day_first,id
highland,2ABL100375,001,mf,"",false,221
daylight,2ABL100269,001,mf,"",false,222
excel,2ABL100334,001,mf,"",false,223
lafayette,2ABL100070,000,mf,"",false,224
highstreet,2ABL100120,001,mf,"",false,225
seedvestltd,2ABL100017,000,mf,"",false,226
alpha,2ABL100394,001,mf,"",false,227
esan,2ABL100191,001,mf,"",false,228
baines,2ABL100443,001,mf,"",false,229
afemai,2ABL100370,001,mf,"",false,230
coronation,2A1L260003,001,cb,"",false,231
ojokoro,2ABL100391,000,mf,"",false,232
microvis,2ABL100352,001,mf,"",false,233
newgoldenpasture,2ABL100208,001,mf,"",false,234
triplea,2ABL100047,000,mf,"",false,235
imowo,2ABL100245,001,mf,"",false,236
hedgeworth,2ABL100056,001,mf,"",false,238
apeks,2ABL100323,001,mf,"",false,239
banex,2ABL100188,000,mf,"",false,240
akuchukwu,2ABL100613,001,mf,,false,1529
lawyers,2ABL100102,001,mf,"",false,242
lekki,2ABL100094,001,mf,"",false,243
supreme,2ABL100066,000,mf,"",false,244
sbdc,2ABL100356,001,mf,"",false,245
vfd,2ABL100351,000,mf,"",false,246
alekun,2ABL100204,001,mf,"",false,247
coastline,2ABL100397,000,mf,"",false,248
chikum,2ABL100450,000,mf,"",false,249
nutendwell,2ABL100231,001,mf,"",false,250
key,1A0L200082,"","","",false,251
firstlowland,2ABL100390,001,mf,"",false,252
accion,2ABL100125,001,mf,"",false,253
boctrust,2ABL100415,001,mf,"",false,256
jessefield,2ABL100132,000,mf,"",false,258
unifund,2ABL100109,001,mf,"",false,259
lovonus,2ABL100039,001,mf,"",false,260
davodani,2ABL100260,001,mf,"",false,261
cit,2ABL100077,001,mf,"",false,262
finatrust,2ABL100030,001,mf,"",false,263
regent,2ABL100224,001,mf,"",false,264
conpro,2ABL100038,001,mf,"",false,265
megapraise,2ABL100176,001,mf,"",false,266
atlasmfb,2ABL100064,001,mf,"",false,267
peace,2ABL100065,001,mf,"",false,268
nnew,2ABL100243,001,mf,"",false,269
mkobo,2ABL100292,000,mf,"",false,272
seap,2ABL100401,001,mf,"",false,273
levite,2ABL100152,001,mf,"",false,274
lapo,2ABL100168,900,mf,"",false,275
ekreliable,2ABL100427,001,mf,"",false,276
crossover,2ABL100303,001,mf,"",false,277
lifegate,2ABL100187,001,mf,"",false,279
boimfb,2ABL100116,000,mf,"",false,280
mutualtrust,2ABL100458,001,mf,"",false,281
viscount,2ABL100219,001,mf,"",false,282
isuofia,2ABL100398,001,mf,"",false,283
dorben,2ABL100134,001,mf,"",false,284
uda,2ABL100357,001,mf,"",false,285
cedar,2ABL100117,001,mf,"",false,286
seedcapital,2ABL100157,001,mf,"",false,289
auchi,2ABL100361,001,mf,"",false,290
prolific,2ABL100146,001,mf,"",false,291
fct,2ABL100068,001,mf,"",false,292
purplemoney,2ABL100287,001,mf,"",false,293
mayfair,2ABL100053,001,mf,"",false,294
alhayat,2ABL100251,001,mf,"",false,295
agosasa,2ABL100346,001,mf,"",false,296
safehaven,2ABL100216,000,mf,"",false,297
empiretrust,2ABL100277,001,mf,"",false,298
allworkers,2ABL100437,001,mf,"",false,299
ikenne,2ABL100452,001,mf,"",false,300
vibrant,2ABL100377,001,mf,"",false,301
icglobal,2ABL100229,001,mf,"",false,302
fidfund,2ABL100052,001,mf,"",false,303
ilisan,2ABL100349,001,mf,"",false,304
amml,2ABL100378,000,mf,"",false,305
citi,2A0L200023,023,cb,"",false,306
crutech,2ABL100250,001,mf,"",false,307
rephidim,2ABL250994,001,mf,"",false,308
stallion,2ABL100223,001,mf,"",false,309
ewt,2ABL100386,000,mf,"",false,310
ffs,2ABL100442,001,mf,"",false,311
jaiz,2A0L100025,0001,"","",false,317
providus,2A0L200101,001,"","",false,319
heritage,2A0L200030,001,"","",false,322
unity,2A0L200215,999,"","",false,323
gtbank,1A0L200058,100,cb,"",false,328
stanchart,1A0L200068,001,"","",false,329
firstbank,1A0L200011,100,cb,"",false,330
alcott,2A2L100472,001,cb,"",false,331
nestle,2CFL100466,001,cb,"",false,333
finderiv,2A2L100005,001,cb,"",false,334
nexim,2A1L100002,001,cb,"",false,337
custodian,2ABL100318,001,mf,"",false,338
ipapo,2ABL100310,001,mf,"",false,339
osanta,2ABL100365,001,mf,"",false,340
mgbidi,2ABL100707,001,mf,"",false,341
island,2ABL100355,001,mf,"",false,342
iwa,2ABL100363,001,mf,"",false,344
molusi,2ABL100254,001,mf,"",false,345
nanka,2ABL100603,001,mf,"",false,346
cfs,2A2L100067,001,cb,"",false,348
crest,2ABL100331,001,mf,"",false,349
dolphin,2ABL100376,001,mf,"",false,350
abbey,2A4L290031,001,mg,,false,287
fcmb,1A0L200214,001,cb,,false,336
navy,2ABL100237,001,mf,,false,255
boi,2A1L100001,000,cb,,false,241
royalexchangefin,2A2L100199,001,cb,,false,335
royalexchangemfb,2ABL100326,001,mf,,false,270
letshego,2ABL100003,000,mf,,false,254
mainstreetmfb,2ABL100135,001,mf,,false,271
nerfund,2A1L100465,001,cb,,false,332
suntrust,2A0L200100,001,cb,,false,316
nbplc,2AFL100805,001,cb,,false,347
okearo,2ABL100302,001,mf,,false,343
polaris,2A0L200076,136,cb,,false,326
access,1A0L200044,099,cb,,false,312
union,1A0L200032,001,cb,,false,314
zenith,2A0L200057,00,cb,,false,321
wema,2A0L200035,10,cb,,false,313
uba,1A0L200033,0999,cb,,false,288
fedpolynasarawa,2ABL100173,001,mf,,false,278
diamond,1A0L200063,016,cb,,false,327
sterling,2A0L200232,223,cb,,false,315
firstroyal,2ABL100181,001,mf,,false,257
stanbic,1A0L200216,001,cb,,false,324
ifesowapo,2ABL100111,001,mf,"",false,351
rand,2A1L100114,001,cb,"",false,352
ikorodu,2ABL100605,001,mf,"",false,353
ilora,2ABL100634,001,mf,"",false,354
light,2ABL100382,001,mf,"",false,355
oritabasorun,2ABL100676,001,mf,"",false,356
